Linux 4.4.0-66-generic (CSPARKWORKnode4) 	10/23/2017 	_x86_64_	(16 CPU)

11:46:23 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:46:24 AM     all      0.00      0.00      0.00      6.20      0.00     93.80
11:46:25 AM     all      0.19      0.00      0.13      6.00      0.00     93.68
11:46:26 AM     all      1.38      0.00      0.38      5.07      0.00     93.18
11:46:27 AM     all      0.44      0.00      0.19      6.13      0.00     93.25
11:46:28 AM     all      0.25      0.00      0.06      6.13      0.00     93.56
11:46:29 AM     all      0.12      0.00      0.06      6.25      0.00     93.56
11:46:30 AM     all      1.38      0.00      0.19      5.75      0.00     92.69
11:46:31 AM     all      2.19      0.00      0.44      4.94      0.00     92.43
11:46:32 AM     all      1.25      0.00      0.13      5.57      0.00     93.06
11:46:33 AM     all      0.94      0.00      0.13      5.33      0.00     93.61
11:46:34 AM     all      3.26      0.00      0.56      4.07      0.00     92.11
11:46:35 AM     all      3.64      0.00      0.25      4.77      0.00     91.34
11:46:36 AM     all      1.94      0.00      0.38      4.45      0.00     93.23
11:46:37 AM     all      9.05      0.00      0.69      2.83      0.00     87.44
11:46:38 AM     all      3.13      0.00      0.06      1.56      0.00     95.25
11:46:39 AM     all      0.00      0.00      0.06      0.06      0.00     99.87
11:46:40 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:41 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:46:42 AM     all      0.00      0.00      0.00      0.19      0.00     99.81
11:46:43 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:46:44 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:45 AM     all      0.00      0.00      0.06      0.06      0.00     99.87
11:46:46 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:46:47 AM     all      0.06      0.00      0.00      0.06      0.00     99.88
11:46:48 AM     all      0.00      0.00      0.00      0.25      0.00     99.75
11:46:49 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:46:51 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:52 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:46:53 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:54 AM     all      0.06      0.00      0.00      0.31      0.00     99.62
11:46:55 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:56 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:46:58 AM     all      0.00      0.00      0.00      0.12      0.00     99.88
11:46:59 AM     all      0.00      0.00      0.00      0.19      0.00     99.81
11:47:00 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:47:01 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:47:02 AM     all      0.06      0.00      0.06      0.06      0.00     99.81
11:47:03 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:47:04 AM     all      0.00      0.00      0.00      0.31      0.00     99.69
11:47:05 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:47:06 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:47:07 AM     all      0.06      0.00      0.00      0.06      0.00     99.88
11:47:08 AM     all      1.25      0.00      0.25      0.75      0.00     97.74
11:47:09 AM     all      0.00      0.00      0.06      0.19      0.00     99.75
11:47:10 AM     all      1.90      0.00      1.20      0.06      0.00     96.83
11:47:11 AM     all      8.80      0.00      5.12      0.20      0.00     85.88
11:47:12 AM     all     11.20      0.00      4.17      0.46      0.00     84.18
11:47:13 AM     all     12.21      0.00      5.04      0.00      0.00     82.75
11:47:14 AM     all     11.28      0.00      4.83      2.58      0.00     81.31
11:47:15 AM     all      9.60      0.00      3.22      3.93      0.00     83.25
11:47:16 AM     all      2.21      0.00      2.08     12.30      0.00     83.41
11:47:17 AM     all      0.38      0.00      0.25     13.04      0.00     86.33
11:47:18 AM     all      3.20      0.00      2.18     18.25      0.00     76.38
11:47:19 AM     all      2.61      0.00      1.72     19.13      0.00     76.53
11:47:20 AM     all      0.06      0.00      0.06      6.31      0.00     93.57
11:47:21 AM     all      0.31      0.00      0.13      5.88      0.00     93.68
11:47:22 AM     all      0.56      0.00      0.63      5.38      0.00     93.43
11:47:23 AM     all      6.17      0.00      1.01      5.73      0.00     87.10
11:47:24 AM     all      6.21      0.00      1.13      5.64      0.00     87.02
11:47:25 AM     all      6.02      0.00      1.75      3.20      0.00     89.04
11:47:26 AM     all      6.20      0.00      1.25      6.20      0.00     86.34
11:47:27 AM     all      5.77      0.00      0.94      4.71      0.00     88.58
11:47:28 AM     all      0.00      0.00      0.06      6.31      0.00     93.62
11:47:29 AM     all      5.51      0.00      1.19      9.71      0.00     83.58
11:47:30 AM     all      6.02      0.00      1.38     11.41      0.00     81.19
11:47:31 AM     all      6.27      0.00      1.38      8.65      0.00     83.70
11:47:32 AM     all      5.98      0.00      1.01      8.94      0.00     84.07
11:47:33 AM     all      4.47      0.00      2.27      8.07      0.00     85.19
11:47:34 AM     all      0.06      0.00      0.00     12.51      0.00     87.43
11:47:35 AM     all      0.06      0.00      0.06     12.50      0.00     87.38
11:47:36 AM     all      0.00      0.00      0.00     16.14      0.00     83.86
11:47:37 AM     all      0.13      0.00      0.25     14.95      0.00     84.68
11:47:38 AM     all      0.00      0.00      0.00     12.52      0.00     87.48
11:47:39 AM     all      0.00      0.00      0.00     12.56      0.00     87.44
11:47:40 AM     all      0.00      0.00      0.06      7.01      0.00     92.93
11:47:41 AM     all      0.00      0.00      0.00      6.32      0.00     93.68
11:47:42 AM     all      0.00      0.00      0.13      9.88      0.00     89.99
11:47:43 AM     all      0.00      0.00      0.00      6.46      0.00     93.54
11:47:44 AM     all      0.00      0.00      0.00     11.76      0.00     88.24
11:47:45 AM     all      0.00      0.00      0.00     12.55      0.00     87.45
11:47:46 AM     all      0.00      0.00      0.25     12.32      0.00     87.43
11:47:47 AM     all      0.00      0.00      0.00      6.63      0.00     93.37
11:47:48 AM     all      0.00      0.00      0.00      6.32      0.00     93.68
11:47:49 AM     all      0.00      0.00      0.00     11.57      0.00     88.43
11:47:50 AM     all      0.00      0.00      0.00     12.52      0.00     87.48
11:47:51 AM     all      1.57      0.00      0.38      6.90      0.00     91.16
11:47:52 AM     all      5.89      0.00      1.13      0.63      0.00     92.36
11:47:53 AM     all      6.51      0.00      0.63      0.00      0.00     92.86
11:47:54 AM     all      6.40      0.00      1.00      0.06      0.00     92.53
11:47:55 AM     all      5.86      0.00      1.07      0.38      0.00     92.70
11:47:56 AM     all      6.23      0.00      0.94      5.41      0.00     87.41
11:47:57 AM     all      6.03      0.00      1.32     12.51      0.00     80.14
11:47:58 AM     all      6.32      0.00      1.00      7.57      0.00     85.12
11:47:59 AM     all      6.07      0.00      1.19      6.20      0.00     86.54
11:48:00 AM     all      6.40      0.00      0.94      6.27      0.00     86.39
11:48:01 AM     all      6.23      0.00      1.13      7.74      0.00     84.91
11:48:02 AM     all      6.34      0.00      0.82      7.47      0.00     85.36
11:48:03 AM     all      6.15      0.00      0.94      6.27      0.00     86.64
11:48:04 AM     all      6.16      0.00      0.82      6.22      0.00     86.81
11:48:05 AM     all      6.28      0.00      0.94      6.28      0.00     86.50
11:48:06 AM     all      4.76      0.00      0.88      6.20      0.00     88.16
11:48:07 AM     all      0.00      0.00      0.06      6.25      0.00     93.68
11:48:08 AM     all      0.00      0.00      0.06      6.31      0.00     93.62
11:48:09 AM     all      0.00      0.00      0.00     17.89      0.00     82.11
11:48:10 AM     all      0.50      0.00      1.25     18.70      0.00     79.55
11:48:11 AM     all      0.00      0.00      0.00      6.32      0.00     93.68
11:48:12 AM     all      0.00      0.00      0.06      6.25      0.00     93.69
11:48:13 AM     all      0.00      0.00      0.06      6.32      0.00     93.62
11:48:14 AM     all      0.00      0.00      0.06      6.31      0.00     93.63
11:48:15 AM     all      0.13      0.00      0.13      5.08      0.00     94.67
11:48:16 AM     all      5.03      0.00      1.51      2.14      0.00     91.33
11:48:17 AM     all     14.19      0.00      1.69      0.06      0.00     84.06
11:48:18 AM     all      9.62      0.00      1.13      0.25      0.00     88.99
11:48:19 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:48:20 AM     all      0.12      0.00      0.06      0.06      0.00     99.75
11:48:21 AM     all      0.06      0.00      0.00      0.06      0.00     99.88
11:48:22 AM     all      0.06      0.00      0.00      0.31      0.00     99.62
11:48:23 AM     all      0.06      0.00      0.06      0.06      0.00     99.81
11:48:24 AM     all      0.06      0.00      0.00      0.06      0.00     99.87
11:48:25 AM     all      0.00      0.00      0.19      0.50      0.00     99.31
11:48:26 AM     all      0.00      0.00      0.00      6.32      0.00     93.68
11:48:27 AM     all      0.00      0.00      0.06      6.25      0.00     93.68
11:48:28 AM     all      0.06      0.00      0.06      6.64      0.00     93.24
11:48:29 AM     all      0.00      0.00      0.00      6.38      0.00     93.62
11:48:30 AM     all      0.06      0.00      0.19      6.12      0.00     93.62
11:48:31 AM     all      0.00      0.00      0.00      6.26      0.00     93.74
11:48:32 AM     all      0.00      0.00      0.00      6.32      0.00     93.68
11:48:33 AM     all      0.00      0.00      0.00      9.44      0.00     90.56
11:48:34 AM     all      0.19      0.00      0.00     18.71      0.00     81.10
11:48:35 AM     all      0.00      0.00      0.00     18.70      0.00     81.30
11:48:36 AM     all      0.06      0.00      0.19      7.06      0.00     92.69
11:48:37 AM     all      0.00      0.00      0.00      6.32      0.00     93.68
11:48:38 AM     all      0.00      0.00      0.00      9.26      0.00     90.74
11:48:39 AM     all      0.06      0.00      0.06     18.75      0.00     81.12
11:48:40 AM     all      0.00      0.00      0.00     18.76      0.00     81.24
11:48:41 AM     all      0.00      0.00      0.13     15.97      0.00     83.91
11:48:42 AM     all      0.00      0.00      0.00     11.45      0.00     88.55
11:48:43 AM     all      0.06      0.00      0.00      6.31      0.00     93.63
11:48:44 AM     all      0.00      0.00      0.00      8.95      0.00     91.05
11:48:45 AM     all      0.00      0.00      0.00     18.81      0.00     81.19
11:48:46 AM     all      0.00      0.00      0.06     18.71      0.00     81.23
11:48:47 AM     all      0.06      0.00      0.12     15.81      0.00     84.00
11:48:48 AM     all      0.00      0.00      0.00      6.32      0.00     93.68
11:48:49 AM     all      0.00      0.00      0.06      6.31      0.00     93.62
11:48:50 AM     all      0.00      0.00      0.06      6.26      0.00     93.68
11:48:51 AM     all      0.00      0.00      0.00      3.38      0.00     96.62
11:48:52 AM     all      0.06      0.00      0.06      0.06      0.00     99.81
11:48:53 AM     all      0.06      0.00      0.06      0.06      0.00     99.81
11:48:54 AM     all      0.06      0.00      0.00      0.06      0.00     99.87
11:48:55 AM     all      0.00      0.00      0.00      0.19      0.00     99.81
11:48:56 AM     all     12.90      0.00      1.44      1.88      0.00     83.78
11:48:57 AM     all     19.65      0.00      1.71      0.06      0.00     78.58
11:48:58 AM     all     51.98      0.00      3.89      0.00      0.00     44.13
11:48:59 AM     all     67.32      0.00     10.45      0.31      0.00     21.91
11:49:00 AM     all     62.86      0.00     12.04      0.00      0.00     25.10
11:49:01 AM     all     72.91      0.00     12.63      0.00      0.00     14.47
11:49:02 AM     all     58.56      0.00     12.91      0.00      0.00     28.53
11:49:03 AM     all     72.69      0.00     22.19      0.06      0.00      5.06
11:49:04 AM     all     77.88      0.00     10.94      0.00      0.00     11.19
11:49:05 AM     all     81.14      0.00      7.39      0.13      0.00     11.34
11:49:06 AM     all     82.82      0.00      6.29      0.00      0.00     10.89
11:49:07 AM     all     84.66      0.00      6.16      0.00      0.00      9.18
11:49:08 AM     all     86.99      0.00      6.66      0.00      0.00      6.35
11:49:09 AM     all     34.84      0.00      2.96      0.06      0.00     62.14
11:49:10 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:49:11 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:49:12 AM     all      0.00      0.00      0.00      0.19      0.00     99.81
11:49:13 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:49:14 AM     all      0.19      0.00      0.13      0.13      0.00     99.56
11:49:15 AM     all      0.63      0.00      1.00      0.44      0.00     97.93
11:49:16 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:49:17 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:49:18 AM     all      0.06      0.00      0.00      0.06      0.00     99.87
11:49:19 AM     all      0.06      0.00      0.00      0.06      0.00     99.88
11:49:20 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:49:21 AM     all      0.00      0.00      0.00      0.19      0.00     99.81
11:49:22 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:49:23 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:49:24 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:49:25 AM     all      0.69      0.00      0.25      0.19      0.00     98.87
11:49:26 AM     all      1.13      0.00      0.94      3.13      0.00     94.80
11:49:27 AM     all     12.36      0.00      1.63      0.06      0.00     85.95
11:49:28 AM     all     12.82      0.00      1.13      0.06      0.00     85.98
11:49:29 AM     all      1.94      0.00      0.00      0.00      0.00     98.06
11:49:30 AM     all      0.06      0.00      0.00      0.12      0.00     99.81
11:49:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:49:32 AM     all      0.06      0.00      0.06      0.31      0.00     99.56
11:49:33 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:49:34 AM     all      0.06      0.00      0.00      0.06      0.00     99.88
11:49:35 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:49:36 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:49:37 AM     all      0.25      0.00      0.13      0.50      0.00     99.12
11:49:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:49:39 AM     all     10.57      0.00      1.32      1.76      0.00     86.35
11:49:40 AM     all     11.94      0.00      0.82      0.38      0.00     86.86
11:49:41 AM     all     31.66      0.00      2.19      1.25      0.00     64.89
11:49:42 AM     all     33.12      0.00      4.01      0.64      0.00     62.24
11:49:43 AM     all     39.62      0.00      1.52      0.00      0.00     58.86
11:49:44 AM     all     28.48      0.00      3.34      0.19      0.00     67.99
11:49:45 AM     all     23.63      0.00      4.49      0.44      0.00     71.45
11:49:46 AM     all     21.16      0.00      5.04      0.44      0.00     73.36
11:49:47 AM     all     21.11      0.00      3.29      0.44      0.00     75.16
11:49:48 AM     all     20.20      0.00      4.03      0.25      0.00     75.52
11:49:49 AM     all     16.46      0.00      3.33      0.57      0.00     79.65
11:49:50 AM     all     14.17      0.00      3.65      0.31      0.00     81.86
11:49:51 AM     all     14.55      0.00      3.70      9.53      0.00     72.23
11:49:52 AM     all     14.20      0.00      2.64      0.44      0.00     82.72
11:49:53 AM     all     15.13      0.00      2.90      0.38      0.00     81.59
11:49:54 AM     all     13.42      0.00      2.57      0.38      0.00     83.64
11:49:55 AM     all      8.99      0.00      2.70      0.50      0.00     87.80
11:49:56 AM     all     13.39      0.00      3.41      0.25      0.00     82.94
11:49:57 AM     all     15.45      0.00      2.84      0.32      0.00     81.40
11:49:58 AM     all     14.20      0.00      3.39      1.38      0.00     81.02
11:49:59 AM     all     14.92      0.00      3.40      0.38      0.00     81.31
11:50:00 AM     all     13.53      0.00      3.08      0.38      0.00     83.01
11:50:01 AM     all     13.71      0.00      3.27      0.38      0.00     82.64
11:50:02 AM     all     12.81      0.00      2.32      1.00      0.00     83.87
11:50:03 AM     all     10.96      0.00      2.32      0.38      0.00     86.35
11:50:04 AM     all     11.86      0.00      2.82      0.44      0.00     84.87
11:50:05 AM     all     13.53      0.00      1.95      0.38      0.00     84.14
11:50:06 AM     all     13.39      0.00      2.83      0.31      0.00     83.47
11:50:07 AM     all     15.39      0.00      1.95      0.69      0.00     81.97
11:50:08 AM     all     15.49      0.00      2.39      0.38      0.00     81.74
11:50:09 AM     all     13.50      0.00      1.82      0.31      0.00     84.37
11:50:10 AM     all     13.66      0.00      0.69      0.31      0.00     85.34
11:50:11 AM     all     14.85      0.00      2.83      0.38      0.00     81.94
11:50:12 AM     all     16.38      0.00      0.56      0.38      0.00     82.67
11:50:13 AM     all     15.06      0.00      2.77      0.38      0.00     81.79
11:50:14 AM     all     14.73      0.00      0.50      3.08      0.00     81.69
11:50:15 AM     all     12.98      0.00      0.88      0.25      0.00     85.89
11:50:16 AM     all     14.59      0.00      2.08      0.38      0.00     82.96
11:50:17 AM     all     13.56      0.00      0.32      0.38      0.00     85.75
11:50:18 AM     all     13.73      0.00      1.76      0.38      0.00     84.14
